ROUTE,DIRECTION,LATITUDE,LONGITUDE
I 80,Westbound,41.2686482,-110.8312566
I 80,Westbound,41.2687517,-110.8309724
I 80,Westbound,41.2688543,-110.8307059
I 80,Westbound,41.2689441,-110.8304838
I 80,Westbound,41.2690648,-110.8301987
I 80,Westbound,41.2692945,-110.8296838
I 80,Westbound,41.2698041,-110.8285626
I 80,Westbound,41.2718516,-110.8240381
I 80,Westbound,41.2719597,-110.823793
I 80,Westbound,41.2720543,-110.8235701
I 80,Westbound,41.2721865,-110.8232444
I 80,Westbound,41.2722975,-110.822953
I 80,Westbound,41.2723091,-110.8229225
I 80,Westbound,41.2723934,-110.8226917
I 80,Westbound,41.2724835,-110.8224333
I 80,Westbound,41.2725806,-110.8221375
I 80,Westbound,41.2726642,-110.8218652
I 80,Westbound,41.2727501,-110.8215642
I 80,Westbound,41.2728236,-110.8212878
I 80,Westbound,41.2728906,-110.8210187
I 80,Westbound,41.272962,-110.8207123
I 80,Westbound,41.2730228,-110.8204312
I 80,Westbound,41.273079,-110.8201486
I 80,Westbound,41.2731348,-110.8198373
I 80,Westbound,41.2731807,-110.8195516
I 80,Westbound,41.2732224,-110.8192642
I 80,Westbound,41.2732635,-110.8189479
I 80,Westbound,41.2732967,-110.8186584
I 80,Westbound,41.2733275,-110.8183394
I 80,Westbound,41.2733502,-110.8180471
I 80,Westbound,41.2733675,-110.8177634
I 80,Westbound,41.2733816,-110.8174412
I 80,Westbound,41.2733895,-110.8171472
I 80,Westbound,41.2733908,-110.8170335
I 80,Westbound,41.2733928,-110.8168252
I 80,Westbound,41.2733914,-110.8165325
I 80,Westbound,41.2733863,-110.8162412
I 80,Westbound,41.273377,-110.8159605
I 80,Westbound,41.2733599,-110.8156331
I 80,Westbound,41.2733393,-110.8153428
I 80,Westbound,41.2733122,-110.8150142
I 80,Westbound,41.2732681,-110.8145158
I 80,Westbound,41.2731507,-110.8132225
I 80,Westbound,41.2729896,-110.8114715
I 80,Westbound,41.2729654,-110.8111414
I 80,Westbound,41.2729517,-110.8108481
I 80,Westbound,41.2729451,-110.8105263
I 80,Westbound,41.272945,-110.8102411
I 80,Westbound,41.2729514,-110.8099496
I 80,Westbound,41.2729657,-110.809624
I 80,Westbound,41.2729841,-110.8093298
I 80,Westbound,41.2730083,-110.8090169
I 80,Westbound,41.2730396,-110.8086959
I 80,Westbound,41.2730728,-110.8084123
I 80,Westbound,41.2731068,-110.808168
I 80,Westbound,41.2731177,-110.808093
I 80,Westbound,41.2731645,-110.8078035
I 80,Westbound,41.273221,-110.8074961
I 80,Westbound,41.2732802,-110.8072097
I 80,Westbound,41.2733032,-110.807109
I 80,Westbound,41.273343,-110.806935
I 80,Westbound,41.2734117,-110.8066621
I 80,Westbound,41.2734117,-110.8066621
I 80,Westbound,41.2734956,-110.806358
I 80,Westbound,41.2735892,-110.8060486
I 80,Westbound,41.2736714,-110.8057936
I 80,Westbound,41.2737639,-110.8055252
I 80,Westbound,41.2738715,-110.8052347
I 80,Westbound,41.2739757,-110.8049742
I 80,Westbound,41.2740965,-110.8046939
I 80,Westbound,41.2742087,-110.80445
I 80,Westbound,41.274267,-110.8043306
I 80,Westbound,41.27432924,-110.8042041
I 80,Westbound,41.2743414,-110.8041794
I 80,Westbound,41.2744635,-110.8039449
I 80,Westbound,41.2746117,-110.8036772
I 80,Westbound,41.2747476,-110.8034451
I 80,Westbound,41.2748883,-110.8032178
I 80,Westbound,41.2750436,-110.8029822
I 80,Westbound,41.2751895,-110.8027723
I 80,Westbound,41.2753637,-110.802534
I 80,Westbound,41.27622268,-110.8013948
I 80,Westbound,41.27622268,-110.8013948
I 80,Westbound,41.27783464,-110.7992895
I 80,Westbound,41.2782461,-110.7987521
I 80,Westbound,41.2782461,-110.7987521
I 80,Westbound,41.2784063,-110.7985425
I 80,Westbound,41.27908,-110.7976613
I 80,Westbound,41.2796914,-110.7968566
I 80,Westbound,41.2800687,-110.7963666
I 80,Westbound,41.280878,-110.7953087
I 80,Westbound,41.2815178,-110.7944687
I 80,Westbound,41.2820016,-110.7938376
I 80,Westbound,41.2827841,-110.7928053
I 80,Westbound,41.2836647,-110.7916549
I 80,Westbound,41.2843548,-110.7907455
I 80,Westbound,41.2850932,-110.7897847
I 80,Westbound,41.2858469,-110.7887926
I 80,Westbound,41.2873198,-110.7868735
I 80,Westbound,41.2879765,-110.7860119
I 80,Westbound,41.288827,-110.7849031
I 80,Westbound,41.2900259,-110.7833305
I 80,Westbound,41.2901586,-110.7831573
I 80,Westbound,41.2906094,-110.7825757
I 80,Westbound,41.2912604,-110.7817197
I 80,Westbound,41.2924951,-110.7801084
I 80,Westbound,41.2928031,-110.7797005
I 80,Westbound,41.2929783,-110.7794618
I 80,Westbound,41.2931072,-110.7792832
I 80,Westbound,41.2932593,-110.7790671
I 80,Westbound,41.2934183,-110.7788328
I 80,Westbound,41.2935594,-110.7786153
