ROUTE,LATITUDE,LONGITUDE
I 80,41.29874427,-110.6439293
I 80,41.29874421,-110.6439253
I 80,41.29864896,-110.6380127
I 80,41.29863714,-110.6372786
I 80,41.29852903,-110.6305675
I 80,41.29849871,-110.6286854
I 80,41.29849869,-110.6286837
I 80,41.29844519,-110.6253624
I 80,41.2981053,-110.6042627
I 80,41.29809185,-110.6035558
I 80,41.29805235,-110.6020601
I 80,41.2978817,-110.5917349
I 80,41.29773505,-110.5832634
I 80,41.29770525,-110.5814026
I 80,41.297705,-110.5805236
I 80,41.29768235,-110.5790222
I 80,41.29766875,-110.5783361
I 80,41.2976442,-110.5775615
I 80,41.29763045,-110.5769642
I 80,41.297353,-110.5604935
I 80,41.2973409,-110.5593765
I 80,41.297348,-110.5587308
I 80,41.29737015,-110.5580984
I 80,41.2973999,-110.557563
I 80,41.2974233,-110.5572344
I 80,41.2974864,-110.5565412
I 80,41.2975356,-110.5561076
I 80,41.29758645,-110.555714
I 80,41.29764175,-110.555328
I 80,41.2977209,-110.554829
I 80,41.2978407,-110.5541683
I 80,41.29798295,-110.5534859
I 80,41.29808685,-110.5530381
I 80,41.29817075,-110.5526997
I 80,41.2983065,-110.5521881
I 80,41.29839235,-110.5518857
I 80,41.29857115,-110.5513003
I 80,41.2989146,-110.5502522
I 80,41.29984155,-110.5474916
I 80,41.30082645,-110.5445197
I 80,41.30300817,-110.5379138
I 80,41.3073339,-110.5248114
I 80,41.30829245,-110.5218923
I 80,41.3089434,-110.5199371
I 80,41.30994415,-110.5168943
I 80,41.3105226,-110.5151643
I 80,41.3116826,-110.5116193
I 80,41.3126745,-110.5085679
I 80,41.31278507,-110.5082344
I 80,41.31341265,-110.506341
I 80,41.3143089,-110.5036033
I 80,41.32443585,-110.4728242
I 80,41.32521185,-110.4704501
I 80,41.3254794,-110.4696138
I 80,41.3257385,-110.4687497
I 80,41.3260125,-110.467764
I 80,41.3261807,-110.4671164
I 80,41.32638715,-110.4662722
I 80,41.32658065,-110.4654227
I 80,41.32670985,-110.4648167
I 80,41.32682935,-110.4642234
I 80,41.3269917,-110.4633423
I 80,41.3271297,-110.4625262
I 80,41.32722695,-110.4618923
I 80,41.32746775,-110.4601357
I 80,41.32766379,-110.4586382
I 80,41.3276642,-110.4586351
I 80,41.3277,-110.4583616
I 80,41.3296681,-110.4431575
I 80,41.33015165,-110.4394677
I 80,41.3304577,-110.4370681
I 80,41.33061125,-110.4358942
I 80,41.33067822,-110.4353821
I 80,41.3309121,-110.433594
I 80,41.33100851,-110.4328845
I 80,41.331132,-110.4319757
I 80,41.33124405,-110.4311978
I 80,41.33139695,-110.4302058
I 80,41.33157753,-110.4291196
I 80,41.33157803,-110.4291166
I 80,41.33180675,-110.4278293
I 80,41.33209705,-110.4263207
I 80,41.33231525,-110.4252447
I 80,41.33259455,-110.4239568
I 80,41.3328616,-110.4227873
I 80,41.3331598,-110.4215452
I 80,41.3334514,-110.4203791
I 80,41.3337372,-110.4192992
I 80,41.3341366,-110.4178792
I 80,41.3344617,-110.4167665
I 80,41.33451468,-110.4165932
I 80,41.33532603,-110.414019
I 80,41.33554905,-110.4133466
I 80,41.3359943,-110.4120625
I 80,41.3364158,-110.410894
I 80,41.33665928,-110.4102475
I 80,41.33883694,-110.404953
I 80,41.33897165,-110.4046497
I 80,41.34093035,-110.4003723
I 80,41.34575957,-110.3898817
I 80,41.34821272,-110.3845528
I 80,41.34686323,-110.3874844
I 80,41.3518706,-110.3766053
I 80,41.35256455,-110.3750761
I 80,41.352896,-110.3742904
I 80,41.3531001,-110.3737583
I 80,41.3533115,-110.3731671
I 80,41.35347205,-110.3726855
I 80,41.3536314,-110.3721701
I 80,41.3537567,-110.3717339
I 80,41.35390735,-110.3711649
I 80,41.35405665,-110.3705442
I 80,41.35420665,-110.3698496
I 80,41.35431635,-110.3692712
I 80,41.35441315,-110.3686868
I 80,41.35449525,-110.368111
I 80,41.35457615,-110.3674156
I 80,41.35464395,-110.3666603
I 80,41.3546859,-110.3660303
I 80,41.35472,-110.3651307
I 80,41.3547372,-110.3639759
I 80,41.3548101,-110.3517632
I 80,41.35481018,-110.3517496
I 80,41.3548204,-110.3500379
I 80,41.35484025,-110.3487725
I 80,41.35486495,-110.3480891
I 80,41.3548927,-110.3475473
I 80,41.3549283,-110.3470159
I 80,41.35497955,-110.3464121
I 80,41.3550435,-110.3457899
I 80,41.35511815,-110.345164
I 80,41.35519395,-110.3445958
I 80,41.35529375,-110.3439381
I 80,41.35537975,-110.3434305
I 80,41.3554838,-110.3428696
I 80,41.355612,-110.3422396
I 80,41.35574225,-110.3416486
I 80,41.35588345,-110.3410624
I 80,41.35601065,-110.3405699
I 80,41.3561549,-110.340042
I 80,41.35629785,-110.3395504
I 80,41.35662225,-110.3384976
I 80,41.35679709,-110.3379493
I 80,41.35680216,-110.3379335
I 80,41.35888305,-110.3314076
I 80,41.36173415,-110.3224283
I 80,41.362089,-110.321254
I 80,41.36247865,-110.3198264
I 80,41.36263695,-110.3191911
I 80,41.3628182,-110.3184144
I 80,41.36344535,-110.3155726
I 80,41.36681364,-110.3000609
I 80,41.36717675,-110.2983851
I 80,41.36743185,-110.2971977
I 80,41.36757995,-110.2964683
I 80,41.36777535,-110.2954006
I 80,41.36792675,-110.2944791
I 80,41.36808645,-110.293386
I 80,41.36821865,-110.2923529
I 80,41.37127205,-110.2653525
I 80,41.3714587,-110.2637501
I 80,41.3716328,-110.2623932
I 80,41.3718014,-110.2611796
I 80,41.37194195,-110.2602542
I 80,41.3722231,-110.2585128
I 80,41.3726085,-110.2561889
I 80,41.3738421,-110.248804
